BEGIN_YEARMONTH,BEGIN_DAY,BEGIN_TIME,END_YEARMONTH,END_DAY,END_TIME,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,YEAR,MONTH_NAME,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,BEGIN_DATE_TIME,CZ_TIMEZONE,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,BEGIN_RANGE,BEGIN_AZIMUTH,BEGIN_LOCATION,END_RANGE,END_AZIMUTH,END_LOCATION,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
200907,7,1202,200907,7,1213,31781,186614,CONNECTICUT,9,2009,July,Hail,C,3,HARTFORD,BOX,07-JUL-09 12:02:00,EST-5,07-JUL-09 12:13:00,0,0,0,0,0.00K,0.00K,Amateur Radio,1.00,,,,,,,,,,,2,E,HARTFORD,2,E,HARTFORD,41.77,-72.68,41.77,-72.68,An upper level disturbance moved across southern New England bringing cold air in at the upper levels and producing showers and thunderstorms.  The cold air at the upper levels created conditions conducive to the production of large hail.,Penny to quarter size hail fell in Canton.,CSV
200907,7,1217,200907,7,1217,31781,186615,CONNECTICUT,9,2009,July,Hail,C,3,HARTFORD,BOX,07-JUL-09 12:17:00,EST-5,07-JUL-09 12:17:00,0,0,0,0,0.00K,0.00K,Amateur Radio,0.75,,,,,,,,,,,0,N,CANTON,0,N,CANTON,41.82,-72.9,41.82,-72.9,An upper level disturbance moved across southern New England bringing cold air in at the upper levels and producing showers and thunderstorms.  The cold air at the upper levels created conditions conducive to the production of large hail.,,CSV
200907,7,1220,200907,7,1220,31781,186616,CONNECTICUT,9,2009,July,Hail,C,3,HARTFORD,BOX,07-JUL-09 12:20:00,EST-5,07-JUL-09 12:20:00,0,0,0,0,0.00K,0.00K,Amateur Radio,1.00,,,,,,,,,,,0,N,AVON,0,N,AVON,41.8,-72.83,41.8,-72.83,An upper level disturbance moved across southern New England bringing cold air in at the upper levels and producing showers and thunderstorms.  The cold air at the upper levels created conditions conducive to the production of large hail.,,CSV
200907,7,1223,200907,7,1232,31781,186617,CONNECTICUT,9,2009,July,Thunderstorm Wind,C,3,HARTFORD,BOX,07-JUL-09 12:23:00,EST-5,07-JUL-09 12:32:00,0,0,0,0,7.00K,0.00K,Amateur Radio,50.00,EG,,,,,,,,,,0,N,CANTON,0,N,CANTON,41.82,-72.9,41.82,-72.9,An upper level disturbance moved across southern New England bringing cold air in at the upper levels and producing showers and thunderstorms.  The cold air at the upper levels created conditions conducive to the production of large hail.,"Several trees were downed by thunderstorm winds, including one that blocked Torrington Avenue.",CSV
200907,7,1228,200907,7,1228,31781,186618,CONNECTICUT,9,2009,July,Hail,C,3,HARTFORD,BOX,07-JUL-09 12:28:00,EST-5,07-JUL-09 12:28:00,0,0,0,0,0.00K,0.00K,Trained Spotter,1.00,,,,,,,,,,,0,N,CANTON,0,N,CANTON,41.82,-72.9,41.82,-72.9,An upper level disturbance moved across southern New England bringing cold air in at the upper levels and producing showers and thunderstorms.  The cold air at the upper levels created conditions conducive to the production of large hail.,,CSV
200907,7,1235,200907,7,1240,31781,186619,CONNECTICUT,9,2009,July,Hail,C,3,HARTFORD,BOX,07-JUL-09 12:35:00,EST-5,07-JUL-09 12:40:00,0,0,0,0,0.00K,0.00K,Trained Spotter,1.00,,,,,,,,,,,0,N,AVON,0,N,AVON,41.8,-72.83,41.8,-72.83,An upper level disturbance moved across southern New England bringing cold air in at the upper levels and producing showers and thunderstorms.  The cold air at the upper levels created conditions conducive to the production of large hail.,Penny to quarter size hail fell on the northern side of Avon.,CSV
200907,7,1245,200907,7,1245,31781,186620,CONNECTICUT,9,2009,July,Hail,C,3,HARTFORD,BOX,07-JUL-09 12:45:00,EST-5,07-JUL-09 12:45:00,0,0,0,0,0.00K,0.00K,Trained Spotter,0.75,,,,,,,,,,,2,E,HARTFORD,0,N,AVON,41.77,-72.68,41.8,-72.83,An upper level disturbance moved across southern New England bringing cold air in at the upper levels and producing showers and thunderstorms.  The cold air at the upper levels created conditions conducive to the production of large hail.,Penny size hail fell in a swath from Avon to downtown Hartford.,CSV
200907,7,1300,200907,7,1300,31781,186623,CONNECTICUT,9,2009,July,Thunderstorm Wind,C,3,HARTFORD,BOX,07-JUL-09 13:00:00,EST-5,07-JUL-09 13:00:00,0,0,0,0,5.00K,0.00K,Amateur Radio,50.00,EG,,,,,,,,,,2,E,HARTFORD,2,E,HARTFORD,41.77,-72.68,41.77,-72.68,An upper level disturbance moved across southern New England bringing cold air in at the upper levels and producing showers and thunderstorms.  The cold air at the upper levels created conditions conducive to the production of large hail.,Trees on Lasalle Road were downed by thunderstorm winds.,CSV
200907,7,1310,200907,7,1310,31781,186624,CONNECTICUT,9,2009,July,Thunderstorm Wind,C,3,HARTFORD,BOX,07-JUL-09 13:10:00,EST-5,07-JUL-09 13:10:00,0,0,0,0,1.00K,0.00K,Amateur Radio,50.00,EG,,,,,,,,,,0,N,WINDSOR,0,N,WINDSOR,41.85,-72.65,41.85,-72.65,An upper level disturbance moved across southern New England bringing cold air in at the upper levels and producing showers and thunderstorms.  The cold air at the upper levels created conditions conducive to the production of large hail.,Large tree limbs were downed by thunderstorm winds.,CSV
200907,7,1329,200907,7,1329,31781,186625,CONNECTICUT,9,2009,July,Thunderstorm Wind,C,13,TOLLAND,BOX,07-JUL-09 13:29:00,EST-5,07-JUL-09 13:29:00,0,0,0,0,5.00K,0.00K,Amateur Radio,50.00,EG,,,,,,,,,,0,N,VERNON,0,N,VERNON,41.82,-72.48,41.82,-72.48,An upper level disturbance moved across southern New England bringing cold air in at the upper levels and producing showers and thunderstorms.  The cold air at the upper levels created conditions conducive to the production of large hail.,Multiple trees were downed by thunderstorm winds.,CSV
